Ticker,P/B Ratio
BWFG,0.881
MNSB,0.609
FCNCA,1.306
MCB,0.906
OPBK,0.985
OSBC,1.122
CIVB,0.719
SSBK,1.166
FSBW,1.176
UNTY,1.287
BY,1.089
FINW,1.219
MBIN,1.059
ORRF,1.338
CUBI,0.858
FUNC,1.224
AMAL,1.556
CBNK,1.291
CASH,2.41
CFBK,0.864
MRBK,0.883
BFST,0.959
OBT,1.792
CFB,1.098
CBAN,1.016
TSBK,0.996
BCML,0.864
PKBK,0.848
SNEX,1.675
WAL,1.521
BWB,0.928
OVLY,1.269
CCBG,1.273
HBCP,0.937
ESQ,2.285
FMNB,1.39
TCBX,0.847
SMBK,1.05
EFSC,1.082
OBK,0.915
VBTX,0.914
BPOP,1.347
RBB,1.452
ZION,1.22
CFG,0.811
PBHC,0.576
BPRN,0.953
EGBN,0.611
UBCP,1.223
ISTR,0.841
DCOM,0.906
HNVR,0.715
SNV,1.32
CCB,2.4
QCRH,1.398
ABCB,1.213
FISI,0.842
BAC,1.127
JMSB,1.231
FBMS,1.053
BOTJ,0.942
EWBC,1.701
TBBK,3.614
PFC,0.866
SPFI,1.334
OPY,0.614
NIC,1.323
FCF,1.272
EBMT,0.752
RF,1.265
PCB,0.746
MPB,0.903
CATY,1.146
WBS,3.676
MBWM,1.284
CHMG,1.128
IBOC,1.496
HTBK,0.881
UBFO,1.154
BANR,1.292
MYFW,0.83
HWC,1.158
EBTC,1.176
RVSB,0.626
HBNC,0.916
PGC,0.864
NFBK,0.708
FFBC,1.024
UMBF,1.646
CCNE,0.853
FNLC,1.185
IBCP,1.616
VABK,1.336
OCFC,0.638
PNFP,1.223
WTFC,1.24
OPHC,0.502
THFF,0.958
SFBS,2.961
WABC,1.602
MVBF,0.841
WAFD,0.984
HTLF,1.253
FRAF,1.02
ESSA,0.797
HAFC,0.846
SF,2.394
SMBC,1.355
FBIZ,1.162
JPM,1.886
AFBI,1.099
LPLA,7.37
FXNC,0.982
SBFG,1.113
HFWA,0.888
PPBI,0.839
FVCB,0.001
NAVI,0.635
NBHC,1.29
ACNB,1.25
INDB,0.878
LARK,874.169
PBBK,0.735
TCBK,1.229
RJF,2.4
CFFI,0.911
HONE,0.941
UVSP,0.962
VLY,0.699
BSRR,1.163
SRCE,1.41
CAC,1.189
MSBI,0.63
CNOB,0.805
MS,1.748
CZFS,0.987
IBKR,4.146
ONB,0.973
FSBC,1.648
PEBO,0.979
FHN,1.029
GCBC,2.409
FDBC,1.485
STEL,0.891
GNTY,1.257
MTB,1.088
FMBH,1.128
BHB,1.043
SFST,0.902
RBCAA,1.453
BUSE,1.078
FULT,1.015
FBNC,1.239
COFS,1.08
SHBI,0.881
NYCB,0.411
MCBS,1.884
HBT,1.364
COF,1.029
SBSI,1.253
FNB,0.85
WSFS,1.219
CTBI,1.241
GABC,1.702
SYBT,2.084
HOMB,1.4
PIPR,4.127
FCCO,1.195
SFNC,0.808
FITB,1.566
BANF,2.326
PWOD,1.085
TRST,0.952
STBA,1.181
FLIC,0.789
FCBC,1.553
AUB,1.117
FRME,0.976
BOKF,1.315
WASH,1.178
BHRB,1.055
BSVN,1.94
GSBC,1.167
FBK,1.481
CPF,1.527
LOB,2.211
FIBK,0.982
LCNB,0.843
RNST,0.783
FFWM,0.436
CBFV,1.017
SCHW,2.815
CVBF,1.234
PNC,1.427
TFC,3.913
OVBC,0.772
SSB,1.337
CFR,2.08
STT,1.09
TRMK,1.073
BFC,1.462
BK,1.356
CHCO,2.536
NWFL,1.271
USB,1.279
HOPE,0.732
IBTX,1.288
WTBA,1.457
BHLB,1.138
EVBN,1.238
TROW,2.448
SBCF,1.054
NWBI,1.081
HBAN,1.144
C,0.602
